"","var1","var2","var3","var4","var5","var6","var7","var8"
"15","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","political and cultural rights","7 years"
"16","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","unemployment and poverty","1 year"
"17","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","unemployment and poverty","25 years"
"18","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","unemployment and poverty","7 years"
"19","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","1 year"
"20","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","25 years"
"21","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","7 years"
"22","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","1 year"
"23","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","25 years"
"24","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","7 years"
"25","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","1 year"
"26","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","25 years"
"27","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","7 years"
"28","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"29","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"30","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"31","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"32","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"33","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"34","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"35","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"36","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"37","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","1 year"
"38","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","25 years"
"39","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","7 years"
"40","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","1 year"
"41","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","25 years"
"42","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","7 years"
"43","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","1 year"
"44","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","25 years"
"45","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","7 years"
"46","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","1 year"
"47","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","25 years"
"48","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","7 years"
"49","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","1 year"
"50","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","25 years"
"51","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","7 years"
"52","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","1 year"
"53","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","25 years"
"54","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","7 years"
"55","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"56","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"57","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"58","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"59","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"60","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"61","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"62","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"63","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"64","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","1 year"
"65","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","25 years"
"66","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","7 years"
"67","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","1 year"
"68","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","25 years"
"69","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","7 years"
"70","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","1 year"
"71","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","25 years"
"72","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","7 years"
"73","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","1 year"
"74","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","25 years"
"75","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","7 years"
"76","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","1 year"
"77","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","25 years"
"78","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","7 years"
"79","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","1 year"
"80","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","25 years"
"81","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","7 years"
"82","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"83","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"84","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"85","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"86","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"87","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"88","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"89","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"90","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"91","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","environment and climate change","1 year"
"92","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","environment and climate change","25 years"
"93","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","environment and climate change","7 years"
"94","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","political and cultural rights","1 year"
"95","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","political and cultural rights","25 years"
"96","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","political and cultural rights","7 years"
"97","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","unemployment and poverty","1 year"
"98","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","unemployment and poverty","25 years"
"99","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","unemployment and poverty","7 years"
"100","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","1 year"
"101","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","25 years"
"102","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","7 years"
"103","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","1 year"
"104","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","25 years"
"105","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","7 years"
"106","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","1 year"
"107","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","25 years"
"108","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","7 years"
"109","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"110","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"111","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"112","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"113","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"114","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"115","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"116","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"117","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"118","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","1 year"
"119","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","25 years"
"120","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","7 years"
"121","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","1 year"
"122","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","25 years"
"123","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","7 years"
"124","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","1 year"
"125","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","25 years"
"126","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","7 years"
"127","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","1 year"
"128","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","25 years"
"129","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","7 years"
"130","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","1 year"
"131","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","25 years"
"132","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","7 years"
"133","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","1 year"
"134","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","25 years"
"135","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","7 years"
"136","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"137","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"138","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"139","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"140","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"141","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"142","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"143","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
